agent_id,scaffold,model,benchmark,n_tasks,n_correct,total_cost,date,run_id,source_file,accuracy
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,Assistantbench Browser Agent,anthropic/claude-3-7-sonnet-20250219,assistantbench,33,1,56.00424,2025-07-31,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806_UPLOAD.zip,0.030303030303030304
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033,Assistantbench Browser Agent,anthropic/claude-3-7-sonnet-20250219,assistantbench,33,0,16.132452,2025-07-31,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033_UPLOAD.zip,0.0
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_low_1748711087,Assistantbench Browser Agent,anthropic/claude-3-7-sonnet-20250219,assistantbench,33,3,14.88363,2025-07-31,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_low_1748711087,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_low_1748711087_UPLOAD.zip,0.09090909090909091
Assistantbench Browser Agent__anthropic/claude-sonnet-4-5-20250929__assistantbench_assistantbench_browser_agent_claudesonnet4520250929_1759266550,Assistantbench Browser Agent,anthropic/claude-sonnet-4-5-20250929,assistantbench,33,1,75.59819399999999,2025-10-01,assistantbench_assistantbench_browser_agent_claudesonnet4520250929_1759266550,assistantbench_assistantbench_browser_agent_claudesonnet4520250929_1759266550_UPLOAD.zip,0.030303030303030304
Assistantbench Browser Agent__deepseek-ai/DeepSeek-R1__assistantbench_assistantbench_browser_agent_deepseekaideepseekr1_1748894163,Assistantbench Browser Agent,deepseek-ai/DeepSeek-R1,assistantbench,33,0,5.295242,2025-07-31,assistantbench_assistantbench_browser_agent_deepseekaideepseekr1_1748894163,assistantbench_assistantbench_browser_agent_deepseekaideepseekr1_1748894163_UPLOAD.zip,0.0
Assistantbench Browser Agent__deepseek-ai/DeepSeek-R1__assistantbench_assistantbench_browser_agent_deepseekr1_1755121049,Assistantbench Browser Agent,deepseek-ai/DeepSeek-R1,assistantbench,33,0,86.451312,2025-08-14,assistantbench_assistantbench_browser_agent_deepseekr1_1755121049,assistantbench_assistantbench_browser_agent_deepseekr1_1755121049_UPLOAD.zip,0.0
Assistantbench Browser Agent__deepseek-ai/DeepSeek-V3__assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269,Assistantbench Browser Agent,deepseek-ai/DeepSeek-V3,assistantbench,33,0,12.66002,2025-07-31,assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269,assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269_UPLOAD.zip,0.0
Assistantbench Browser Agent__gemini/gemini-2.0-flash__assistantbench_assistantbench_browser_agent_gemini20flash_1746393958,Assistantbench Browser Agent,gemini/gemini-2.0-flash,assistantbench,33,0,0.0,2025-07-31,assistantbench_assistantbench_browser_agent_gemini20flash_1746393958,assistantbench_assistantbench_browser_agent_gemini20flash_1746393958_UPLOAD.zip,0.0
Assistantbench Browser Agent__gemini/gemini-2.0-flash__assistantbench_assistantbench_browser_agent_gemini20flash_1755192000,Assistantbench Browser Agent,gemini/gemini-2.0-flash,assistantbench,33,0,2.178394,2025-08-14,assistantbench_assistantbench_browser_agent_gemini20flash_1755192000,assistantbench_assistantbench_browser_agent_gemini20flash_1755192000_UPLOAD.zip,0.0
Assistantbench Browser Agent__openai/gpt-4.1-2025-04-14__assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570,Assistantbench Browser Agent,openai/gpt-4.1-2025-04-14,assistantbench,33,2,14.146052,2025-07-31,assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570,assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570_UPLOAD.zip,0.06060606060606061
Assistantbench Browser Agent__openai/gpt-5__assistantbench_assistantbench_browser_agent_gpt5_1754598271,Assistantbench Browser Agent,openai/gpt-5,assistantbench,33,0,41.836422500000005,2025-08-08,assistantbench_assistantbench_browser_agent_gpt5_1754598271,assistantbench_assistantbench_browser_agent_gpt5_1754598271_UPLOAD.zip,0.0
Assistantbench Browser Agent__openai/gpt-5__assistantbench_assistantbench_browser_agent_gpt5_1754633901,Assistantbench Browser Agent,openai/gpt-5,assistantbench,33,0,41.69215750000001,2025-08-08,assistantbench_assistantbench_browser_agent_gpt5_1754633901,assistantbench_assistantbench_browser_agent_gpt5_1754633901_UPLOAD.zip,0.0
Assistantbench Browser Agent__openai/o3-2025-04-16__assistantbench_assistantbench_browser_agent_o320250416_1750104946,Assistantbench Browser Agent,openai/o3-2025-04-16,assistantbench,33,2,75.7673,2025-07-31,assistantbench_assistantbench_browser_agent_o320250416_1750104946,assistantbench_assistantbench_browser_agent_o320250416_1750104946_UPLOAD.zip,0.06060606060606061
Assistantbench Browser Agent__openai/o4-mini-2025-04-16__assistantbench_assistantbench_browser_agent_o4mini20250416_1746227177,Assistantbench Browser Agent,openai/o4-mini-2025-04-16,assistantbench,33,2,12.4986114,2025-07-31,assistantbench_assistantbench_browser_agent_o4mini20250416_1746227177,assistantbench_assistantbench_browser_agent_o4mini20250416_1746227177_UPLOAD.zip,0.06060606060606061
Assistantbench Browser Agent__openai/o4-mini-2025-04-16__assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478,Assistantbench Browser Agent,openai/o4-mini-2025-04-16,assistantbench,33,2,16.386713200000003,2025-07-31,assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478,assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478_UPLOAD.zip,0.06060606060606061
Assistantbench Browser Agent__openai/o4-mini-2025-04-16__assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633,Assistantbench Browser Agent,openai/o4-mini-2025-04-16,assistantbench,33,2,9.2159078,2025-07-31,assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633,assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633_UPLOAD.zip,0.06060606060606061
Assistantbench Browser Agent__openrouter/anthropic/claude-opus-4.1__assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912,Assistantbench Browser Agent,openrouter/anthropic/claude-opus-4.1,assistantbench,33,1,385.42725,2025-08-08,assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912,assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912_UPLOAD.zip,0.030303030303030304
Assistantbench Browser Agent__openrouter/anthropic/claude-opus-4.1__assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872,Assistantbench Browser Agent,openrouter/anthropic/claude-opus-4.1,assistantbench,33,0,779.724195,2025-08-15,assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872,assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872_UPLOAD.zip,0.0
Assistantbench Browser Agent__openrouter/anthropic/claude-sonnet-4.5__assistantbench_assistantbench_browser_agent_claudesonnet45_high_1759427714,Assistantbench Browser Agent,openrouter/anthropic/claude-sonnet-4.5,assistantbench,33,2,0.0,2025-10-02,assistantbench_assistantbench_browser_agent_claudesonnet45_high_1759427714,assistantbench_assistantbench_browser_agent_claudesonnet45_high_1759427714_UPLOAD.zip,0.06060606060606061
Browser-Use__gpt-4.1-2025-04-14__browser-use_gpt-4.1-2025-04-14,Browser-Use,gpt-4.1-2025-04-14,online_mind2web,300,109,236.61990612,2025-05-02,browser-use_gpt-4.1-2025-04-14,browser-use_gpt-4.1-2025-04-14_UPLOAD.zip,0.36333333333333334
Browser-Use__gpt-5-2025-08-07__browser-use_gpt-5_reasoning_effort_high,Browser-Use,gpt-5-2025-08-07,online_mind2web,300,107,1069.5855350000002,2025-08-16,browser-use_gpt-5_reasoning_effort_high,browser-use_gpt-5_reasoning_effort_high_UPLOAD.zip,0.3566666666666667
Browser-Use__gpt-5-2025-08-07__browser-use_gpt-5_reasoning_effort_medium,Browser-Use,gpt-5-2025-08-07,online_mind2web,300,96,736.3110300000001,2025-08-14,browser-use_gpt-5_reasoning_effort_medium,browser-use_gpt-5_reasoning_effort_medium_UPLOAD.zip,0.32
Browser-Use__gpt-5-2025-08-07__browser-use_gpt-5_reasoning_effort_minimal,Browser-Use,gpt-5-2025-08-07,online_mind2web,300,66,347.23208500000004,2025-08-13,browser-use_gpt-5_reasoning_effort_minimal,browser-use_gpt-5_reasoning_effort_minimal_UPLOAD.zip,0.22
Browser-Use__o3-2025-04-16__browser-use_o3-2025-04-16,Browser-Use,o3-2025-04-16,online_mind2web,300,87,1857.9361737,2025-05-17,browser-use_o3-2025-04-16,browser-use_o3-2025-04-16_UPLOAD.zip,0.29
Browser-Use__o4-mini-2025-04-16__browser-use_o4-mini_reasoning_effort_high,Browser-Use,o4-mini-2025-04-16,online_mind2web,300,60,297.93406104,2025-05-02,browser-use_o4-mini_reasoning_effort_high,browser-use_o4-mini_reasoning_effort_high_UPLOAD.zip,0.2
Browser-Use__o4-mini-2025-04-16__browser-use_o4-mini_reasoning_effort_low,Browser-Use,o4-mini-2025-04-16,online_mind2web,300,55,201.43624810000003,2025-05-08,browser-use_o4-mini_reasoning_effort_low,browser-use_o4-mini_reasoning_effort_low_UPLOAD.zip,0.18333333333333332
Browser-Use_test__claude-3-7-sonnet-20250219__browser-use_claude-3-7-sonnet-20250219,Browser-Use_test,claude-3-7-sonnet-20250219,online_mind2web,300,115,926.481348,2025-05-05,browser-use_claude-3-7-sonnet-20250219,browser-use_claude-3-7-sonnet-20250219_UPLOAD.zip,0.38333333333333336
Browser-Use_test__claude-3-7-sonnet-20250219__browser-use_claude-3-7-sonnet-20250219_thinking_high_4096,Browser-Use_test,claude-3-7-sonnet-20250219,online_mind2web,300,118,1151.878737,2025-07-10,browser-use_claude-3-7-sonnet-20250219_thinking_high_4096,browser-use_claude-3-7-sonnet-20250219_thinking_high_4096_UPLOAD.zip,0.3933333333333333
