agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,0,1,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,4,1,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,3,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,1,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,2,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,16,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,8,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,9,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,18,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
HAL Generalist Minimal Reasoning__gpt-5__taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline,20,0,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,2025-08-07,62.1096525,50,19,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip
