raw_scaffold,normalized_harness,tool_exposure_mechanism,tool_exposure_strength,exposed_tools,exposed_tools_note,embedded_model_hint,reasoning_effort_hint,normalization_note,curation_note,exclude_candidate,affordance_code_generation,affordance_code_execution,affordance_shell_access,affordance_file_read,affordance_file_edit,affordance_web_search,affordance_web_page_visit,affordance_browser_control,affordance_vision,affordance_native_domain_tools,affordance_benchmark_api_tools,affordance_human_dialogue,affordance_retrieval_context,affordance_external_judge_or_eval,affordance_self_debug_feedback,affordance_complete_program_prompt
Assistantbench Browser Agent,AssistantBench Browser Agent,framework_mediated_browser_control,,browser_navigate; browser_click; browser_type; browser_scroll; browser_extract_page; browser_done,Browser-use framework action set; exact low-level browser actions are mediated by browser_use.Agent.,,,case-normalized alias,,,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
Browser-Use,Browser-Use,framework_mediated_browser_control,,browser_navigate; browser_click; browser_type; browser_scroll; browser_extract_page; browser_done,Historical Browser-Use runs; action names summarized from browser-use framework affordances.,,,canonical label,,,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
Browser-Use_test,Browser-Use,framework_mediated_browser_control,,browser_navigate; browser_click; browser_type; browser_scroll; browser_extract_page; browser_done,Historical Browser-Use runs; action names summarized from browser-use framework affordances.,,,test/raw-run alias,,,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
Claude Code,Claude Code,text_action_protocol,,shell_command; file_read; file_search; file_edit; test_command; submit_or_finish,External Claude Code CLI/scaffold text action protocol; exact command inventory is not represented as native model tool schemas in this repo.,,,canonical label,,,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false
colbench_backend_programming colbench_example_agent,ColBench Example Agent,harness_side_augmentation,medium,harness_dialogue; final_answer,Harness-mediated dialogue/answer loop; no callable model-visible environment tools.,,,raw benchmark prefix removed,,,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
colbench_example_agent_gpt41,ColBench Example Agent,harness_side_augmentation,medium,harness_dialogue; final_answer,Harness-mediated dialogue/answer loop; no callable model-visible environment tools.,GPT-4.1,,model suffix removed,,,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false
CORE-Agent,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,,,canonical label,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
"CORE-Agent(Claude-
Sonnet-4-5)",CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,Claude Sonnet 4.5,,embedded model suffix removed,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
Core Agent,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,,,case/punctuation-normalized alias,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
Core Agent Opus 4.5,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,Claude Opus 4.5,,embedded model suffix removed,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
Core Agent Opus 4.5 high,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,Claude Opus 4.5,high,embedded model and reasoning suffix removed,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
Core-Agent,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,,,case-normalized alias,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
Coreagent,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,,,case/punctuation-normalized alias,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
