agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,46,1,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,16,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,9,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,8,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,10,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,12,1,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,11,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,18,1,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,20,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,3,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,1,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
HAL Generalist High Reasoning__gpt-5__taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline,5,0,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,2025-08-07,52.778650000000006,50,15,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip
