agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,0,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,1,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,2,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,3,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,4,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,5,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,6,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,7,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,8,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,9,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,10,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,11,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,12,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,13,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,14,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,15,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,16,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,17,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,18,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,19,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,20,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,21,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,22,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,23,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,24,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,25,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,26,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,27,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,28,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,29,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,30,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,31,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,32,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,33,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,34,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,35,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,36,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,37,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,38,0,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,39,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline,40,1,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,2025-04-20,17.84996,50,8,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip
