run_id,scaffold,model,source_file,correct,reward,observed_n_actions,raw_n_actions,oracle_suffix_stripped,n_respond,n_search_direct_flight,n_update_reservation_flights,has_update_reservation_baggages,has_send_certificate,has_transfer_to_human_agents,final_action,final_signature,contains_expected_action_subsequence,contains_expected_signature_subsequence,used_expected_update_flight,used_non_expected_update_flight,first_update_is_expected,all_updates_are_expected,update_flight_numbers,sequence,signature_sequence
taubench_airline_1743961943,TAU-bench FewShot,gpt-4o-2024-11-20,taubench_airline_1743961943_UPLOAD.zip,0,0.0,14,17,1,9,1,1,1,0,0,respond,respond,1,0,1,1,0,0,HAT175|HAT112,respond -> get_user_details -> respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> update_reservation_baggages -> respond -> respond -> respond -> respond,respond -> get_user_details(user_id=james_taylor_7043) -> respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT175+HAT112) -> update_reservation_baggages(reservation_id=1N99U6) -> respond -> respond -> respond -> respond
taubench_airline_1743969279,TAU-bench FewShot,o3-mini-2025-01-31,taubench_airline_1743969279_UPLOAD.zip,1,1.0,8,11,1,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> search_direct_flight -> respond -> update_reservation_flights -> respond -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond
taubench_airline_1743970420,TAU-bench FewShot,o3-mini-2025-01-31,taubench_airline_1743970420_UPLOAD.zip,1,1.0,13,16,1,8,2,2,0,0,0,respond,respond,1,1,1,1,0,0,HAT999|HAT998|HAT266|HAT112,respond -> respond -> get_reservation_details -> respond -> respond -> respond -> update_reservation_flights -> respond -> search_direct_flight -> search_direct_flight -> respond -> update_reservation_flights -> respond,respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> respond -> respond -> update_reservation_flights(HAT999+HAT998) -> respond -> search_direct_flight(origin=LAS) -> search_direct_flight(origin=IAH) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline_1743994890_UPLOAD.zip,0,0.0,5,8,1,5,0,0,0,0,0,respond,respond,0,0,0,0,0,0,,respond -> respond -> respond -> respond -> respond,respond -> respond -> respond -> respond -> respond
taubench_airline_1744000536,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline_1744000536_UPLOAD.zip,1,1.0,10,13,1,6,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> get_user_details -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip,0,0.0,11,11,0,6,1,2,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112|HAT266|HAT112,respond -> get_user_details -> respond -> get_reservation_details -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond,respond -> get_user_details(user_id=james_taylor_7043) -> respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_agent_claude37sonnet20250219_high_1746060636,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline_hal_generalist_agent_claude37sonnet20250219_high_1746060636_UPLOAD.zip,0,0.0,15,15,0,8,2,2,0,0,0,respond,respond,1,1,1,1,0,0,HAT175|HAT112|HAT266|HAT112,respond -> get_user_details -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> respond -> update_reservation_flights -> respond -> respond -> get_reservation_details -> search_direct_flight -> update_reservation_flights -> respond,respond -> get_user_details(user_id=james_taylor_7043) -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> update_reservation_flights(HAT175+HAT112) -> respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip,0,0.0,9,9,0,5,2,1,0,0,0,respond,respond,1,0,1,1,0,0,HAT266|HAT131,respond -> get_reservation_details -> respond -> search_direct_flight -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> search_direct_flight(origin=IAH) -> respond -> respond -> update_reservation_flights(HAT266+HAT131) -> respond
taubench_airline_hal_generalist_agent_deepseekaideepseekv3_1745263676,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-V3,taubench_airline_hal_generalist_agent_deepseekaideepseekv3_1745263676_UPLOAD.zip,0,0.0,8,8,0,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip,0,0.0,11,11,0,7,2,1,0,0,0,respond,respond,1,0,1,1,0,0,HAT266|HAT131,respond -> get_reservation_details -> respond -> search_direct_flight -> search_direct_flight -> respond -> respond -> respond -> update_reservation_flights -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> search_direct_flight(origin=IAH) -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT131) -> respond -> respond
taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,HAL Generalist Agent,gpt-4.1-2025-04-14,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.zip,0,0.0,9,9,0,4,2,1,0,1,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> search_direct_flight -> search_direct_flight -> respond -> respond -> update_reservation_flights -> send_certificate -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> search_direct_flight(origin=IAH) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> send_certificate(user_id=james_taylor_7043) -> respond
taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip,1,1.0,11,14,1,6,1,2,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112|HAT266|HAT112,respond -> get_reservation_details -> search_direct_flight -> respond -> respond -> get_user_details -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_agent_o4mini20250416_high_1745167079,HAL Generalist Agent,o4-mini-2025-04-16,taubench_airline_hal_generalist_agent_o4mini20250416_high_1745167079_UPLOAD.zip,0,0.0,15,15,0,11,1,1,0,0,0,respond,respond,1,0,1,1,0,0,HAT284|HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> respond -> respond -> get_reservation_details -> respond -> respond -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT284+HAT266+HAT112) -> respond -> respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> respond -> respond -> respond
taubench_airline_hal_generalist_agent_o4mini20250416_low_1745166691,HAL Generalist Agent,o4-mini-2025-04-16,taubench_airline_hal_generalist_agent_o4mini20250416_low_1745166691_UPLOAD.zip,0,0.0,8,8,0,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip,0,0.0,9,9,0,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> get_user_details -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451,HAL Generalist High Reasoning,gpt-5,taubench_airline_hal_generalist_high_reasoning___gpt5_1754597451_UPLOAD.zip,0,0.0,9,9,0,6,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_high_reasoning_claudeopus41_1754432004,HAL Generalist High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline_hal_generalist_high_reasoning_claudeopus41_1754432004_UPLOAD.zip,0,0.0,14,14,0,7,1,2,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112|HAT266|HAT112,respond -> get_user_details -> get_reservation_details -> get_reservation_details -> get_reservation_details -> respond -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond,respond -> get_user_details(user_id=james_taylor_7043) -> get_reservation_details(reservation_id=UUN48W) -> get_reservation_details(reservation_id=1N99U6) -> get_reservation_details(reservation_id=1R63WQ) -> respond -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_high_reasoning_claudeopus420250514_1754320160,HAL Generalist High Reasoning,claude-opus-4-20250514,taubench_airline_hal_generalist_high_reasoning_claudeopus420250514_1754320160_UPLOAD.zip,1,1.0,11,14,1,7,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> get_user_details -> respond -> search_direct_flight -> respond -> respond -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> get_user_details(user_id=james_taylor_7043) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
